Month,Date,Headline_Original,Sentiment,Headline_Clean
April,"Updated: Apr 17, 2020 15:28 IST","Rs 500 notes lay on Delhi street, no one touches due to coronavirus fear",0,rs note lay delhi street no one touch due coronavirus fear
April,"Updated: Apr 17, 2020 14:19 IST","Charu Asopa on trolls attacking her over pics with husband: If we keep thinking what will people say, we will not be able to do anything in life",0,charu asopa troll attack pics husband keep think people say not able anything life
April,"Updated: Apr 17, 2020 13:54 IST",People abandoning their pets are cruel and ignorant: Richa,0,people abandon pet cruel ignorant richa
April,"Updated: Apr 17, 2020 12:42 IST",Indian women's hockey team to raise funds for poor affected by lockdown,0,indian women hockey team raise fund poor affect lockdown
April,"Updated: Apr 17, 2020 12:42 IST",Real estate sector faces serious setback due to Covid-19: Report,0,real estate sector face serious setback due report
April,"Updated: Apr 17, 2020 11:26 IST",Himachal tea growers suffer losses due to coronavirus lockdown,0,himachal tea growers suffer losses due coronavirus lockdown
April,"Updated: Apr 17, 2020 09:38 IST",Coronavirus: Your risk of getting sick from Covid-19 may lie in your genes,0,coronavirus risk get sick may lie genes
April,"Updated: Apr 17, 2020 14:26 IST","Bengal BJP MP booked under Disaster Management Act, another alleges ‘house arrest'",0,bengal bjp mp book disaster management act another allege house arrest
April,"Updated: Apr 17, 2020 07:55 IST",COVID-19: Paper towels may remove virus missed by poor hand washing,0,paper towel may remove virus miss poor hand wash
April,"Updated: Apr 16, 2020 23:41 IST","Unpaid for two months, KoD performers fail to strike the right pose",0,unpaid two months kod performers fail strike right pose
April,"Updated: Apr 16, 2020 23:04 IST",BMC meeting on Covid-19 death rate: Patients are receiving treatment very late,0,bmc meet death rate patients receive treatment late
April,"Updated: Apr 16, 2020 23:07 IST",China must answer ‘hard questions' about coronavirus outbreak: UK,0,china must answer hard question coronavirus outbreak uk
April,"Updated: Apr 17, 2020 00:08 IST","Covid-19: Nearly 60 million of India's poor most vulnerable, says Oxford study",0,nearly million india poor vulnerable say oxford study
April,"Updated: Apr 16, 2020 21:51 IST",Future tense for die-hard Olympic fans,0,future tense olympic fan
April,"Updated: Apr 16, 2020 20:48 IST",Bangladesh coast guard rescues 396 Rohingya from drifting boat; 32 dead,0,bangladesh coast guard rescue rohingya drift boat dead
April,"Updated: Apr 16, 2020 21:16 IST","Lab error declares man, 68, suffering from cold as Covid-19 positive",0,lab error declare man suffer cold positive
April,"Updated: Apr 16, 2020 19:18 IST",Starving monkeys find saviour in Ramanagara BJP president,0,starving monkey find saviour ramanagara bjp president
April,"Updated: Apr 16, 2020 17:14 IST","After Covid-19 lockdown losses, HP faces extensive crop damage due to rain, hail",0,lockdown losses hp face extensive crop damage due rain hail
April,"Updated: Apr 16, 2020 16:19 IST",‘Not safe': Govt warns people against using Zoom video conference service,0,not safe govt warn people use zoom video conference service
April,"Updated: Apr 16, 2020 15:41 IST",‘Zoom app is not safe for private persons/entities': MHA,0,zoom app not safe private mha
April,"Updated: Apr 16, 2020 13:03 IST","China, Europe show restarting coronavirus-hit economies not easy",0,china europe show restart economies not easy
April,"Updated: Apr 16, 2020 09:13 IST",Class 6 Hyderabad girl raises Rs 9.4 lakh to help poor amid lockdown,0,class hyderabad girl raise rs lakh help poor amid lockdown
April,"Updated: Apr 16, 2020 08:12 IST","Salman Khan angry at lockdown violators in new video: ‘If you do not go out with friends, police would not hit your behinds'",0,salman khan angry lockdown violators new video not go friends police would not hit behinds
April,"Updated: Apr 15, 2020 23:11 IST",Mohanlalganj village in grief as migrant's body arrives,0,mohanlalganj village grief migrant body arrive
April,"Updated: Apr 16, 2020 10:32 IST",Pune district admin forms task force to keep track of critically ill Covid-19 patients,0,pune district admin form task force keep track critically ill patients
April,"Updated: Apr 16, 2020 12:16 IST",Dialysis patients have a tough time amid Covid-19 curfew in Chandigarh,0,dialysis patients tough time amid curfew chandigarh
April,"Updated: Apr 15, 2020 18:40 IST",Ranchi administration picks corona patients amid ‘violent' resistance from section of Hindpiri residents,0,ranchi administration pick corona patients amid violent resistance section hindpiri residents
April,"Updated: Apr 15, 2020 15:20 IST",RJD demands compensation for quarantine suicide victim's family,0,rjd demand compensation quarantine suicide victim family
April,"Updated: Apr 15, 2020 14:12 IST",Seafarers stranded abroad desperate as India refuses repatriation,0,seafarers strand abroad desperate india refuse repatriation
April,"Updated: Apr 15, 2020 12:55 IST","Coronavirus lockdown paralyses tourism worldwide, Spain and Italy worst hit",0,coronavirus lockdown paralyse tourism worldwide spain italy worst hit
April,"Updated: Apr 15, 2020 12:41 IST","2 more FIRs over gathering of migrant workers in Bandra, 1 arrested",0,firs gather migrant workers bandra arrest
April,"Updated: Apr 15, 2020 09:53 IST","County cricketers left frustrated due to COVID-19, says Buttler",0,county cricketers leave frustrate due say buttler
April,"Updated: Apr 15, 2020 08:12 IST","India locked down till May 3, IMF makes a grim projection: Covid-19 news today",0,india lock till may imf make grim projection news today
April,"Updated: Apr 15, 2020 10:08 IST",Migrant workers complain about ‘bad quality' food served at Jhajjar shelter home,0,migrant workers complain bad quality food serve jhajjar shelter home
April,"Updated: Apr 14, 2020 20:15 IST",Fear of infection haunts waste collection staff in Amritsar,0,fear infection haunt waste collection staff amritsar
April,"Updated: Apr 14, 2020 19:10 IST","Covid-19 update: Global economy will suffer worst year since Depression, to shrink by 3%, says IMF",0,update global economy suffer worst year since depression shrink say imf
April,"Updated: Apr 14, 2020 16:05 IST","Disappointed with Olympic postponement, do not know what will happen next year: Bhawana Jat",0,disappointed olympic postponement not know happen next year bhawana jat
April,"Updated: Apr 14, 2020 15:11 IST",US to consider requests for visa extensions due to Covid-19 crisis,0,us consider request visa extensions due crisis
April,"Updated: Apr 14, 2020 18:10 IST",These Indonesians are making people stay home in a spooky and scary way,0,indonesians make people stay home spooky scary way
April,"Updated: Apr 14, 2020 10:52 IST","USCIRF says ‘troubled' by denial of food to Pakistani Hindus, Christians amid Covid-19 crisis",0,uscirf say trouble denial food pakistani hindus christians amid crisis
April,"Updated: Apr 14, 2020 09:48 IST",‘Can we be so selfish?' Shivraj Chouhan's comeback on Opposition's ‘one-man show' barb,0,selfish shivraj chouhan comeback opposition show barb
April,"Updated: Apr 14, 2020 09:41 IST","Coronavirus update: India's Covid-19 cases surge past 10,000, death toll at 339",0,coronavirus update india case surge past death toll
April,"Updated: Apr 13, 2020 23:42 IST","3 dead, 2 injured in Palghar soap unit blast",0,dead injure palghar soap unit blast
April,"Updated: Apr 13, 2020 23:06 IST",17-year-old varsity mess worker with Covid symptoms dies in Jalandhar,0,varsity mess worker covid symptoms die jalandhar
April,"Updated: Apr 13, 2020 14:32 IST","Actor Aditya Seal says uncle in the US coronavirus-positive: ‘It's horrible there, no masks and no medicines'",0,actor aditya seal say uncle us horrible no mask no medicine
April,"Updated: Apr 13, 2020 14:20 IST",Diego Luna regrets watching Chernobyl during coronavirus outbreak: ‘It was such a big mistake. Terrifying!',0,diego luna regret watch chernobyl coronavirus outbreak big mistake terrifying
April,"Updated: Apr 13, 2020 17:43 IST","Over 32 crore poor got Rs29,352 crore in cash aid since March 26: Govt",0,crore poor get crore cash aid since march govt
April,"Updated: Apr 13, 2020 13:17 IST","China's football squad left ‘anxious, homesick' by coronavirus",0,china football squad leave anxious homesick coronavirus
April,"Updated: Apr 13, 2020 08:16 IST",‘Fake news': Trump's counter to NYT report on his response to Covid-19,0,fake news trump counter nyt report response
April,"Updated: Apr 13, 2020 05:27 IST",Covid-19 lockdown: Working capital pain adds to firms' stress,0,lockdown working capital pain add firm stress
April,"Updated: Apr 13, 2020 06:48 IST",This is extremely frustrating and hurtful: Brendan Taylor on pandemic affecting Zimbabwe cricket,0,extremely frustrate hurtful brendan taylor pandemic affect zimbabwe cricket
April,"Updated: Apr 13, 2020 07:50 IST",Covid-19: Noida apartment owners start ‘Roti Bank' for poor,0,noida apartment owners start roti bank poor
April,"Updated: Apr 12, 2020 18:15 IST","Covid-19 Update: India's coronavirus cases touch 8,447, 34 people dead since Saturday",0,update india coronavirus case touch people dead since saturday
April,"Updated: Apr 12, 2020 13:49 IST","Shops are not delivering alcohol at home, payment links can be fake, clarifies Nagpur police",0,shops not deliver alcohol home payment link fake clarify nagpur police
April,"Updated: Apr 12, 2020 11:51 IST","Coronavirus update: Lift or extend lockdown, difficult situation either way, Jharkhand CM tells Modi",0,coronavirus update lift extend lockdown difficult situation either way jharkhand cm tell modi
April,"Updated: Apr 12, 2020 11:34 IST",Ajay Devgn ‘angry and disgusted' at those attacking doctors amid lockdown: ‘Such insensitive people are worst criminals',0,ajay devgn angry disgust attack doctor amid lockdown insensitive people worst criminals
April,"Updated: Apr 12, 2020 08:11 IST",65 prisoners in Jammu and Kashmir released due to coronavirus outbreak,0,prisoners jammu kashmir release due coronavirus outbreak
April,"Updated: Apr 12, 2020 10:39 IST","‘Didn't follow lockdown, I am sorry': Uttarakhand Police ask 10 foreigners to write 500 times",0,follow lockdown sorry uttarakhand police ask foreigners write time
April,"Updated: Apr 11, 2020 23:14 IST",Centre should come up with ‘Food for Work' scheme for poor: Rajasthan CM urges PM,0,centre come food work scheme poor rajasthan cm urge pm
April,"Updated: Apr 11, 2020 22:37 IST","Govt should put money in hands of poor, vulnerable: Cong leader Chidambaram",0,govt put money hand poor vulnerable cong leader chidambaram
April,"Updated: Apr 11, 2020 20:34 IST","Grey roots, lady beards: The hidden personal grooming crisis during coronavirus lockdown",0,grey root lady beard hide personal groom crisis coronavirus lockdown
April,"Updated: Apr 12, 2020 09:40 IST","Migrant workers go on rampage in Surat demanding nod to return home, 81 arrested",0,migrant workers go rampage surat demand nod return home arrest
April,"Updated: Apr 11, 2020 16:31 IST",Crackdown against fake news; 161 cases registered in Maharashtra,0,crackdown fake news case register maharashtra
April,"Updated: Apr 11, 2020 14:58 IST","Empty churches, food drive mark start of Easter weekend in coronavirus-hit U.S.",0,empty church food drive mark start easter weekend
April,"Updated: Apr 11, 2020 17:31 IST","Indian man, 70, stuck in Dubai due to Covid-19 lockdown dies of heart attack",0,indian man stick dubai due lockdown die heart attack
April,"Updated: Apr 11, 2020 13:04 IST","Delhi Covid-19 tally nears 1000; 13 dead, over 20 recover: Ministry of Health",0,delhi tally near dead recover ministry health
April,"Updated: Apr 11, 2020 11:04 IST","Covid-19: Chidambaram urges chief ministers to make a ‘unanimous demand', ask Centre to ‘remonetise the poor'",0,chidambaram urge chief minister make unanimous demand ask centre remonetise poor
April,"Updated: Apr 11, 2020 13:49 IST","Covid-19: Madhya Pradesh has highest death rate, poor state response",0,madhya pradesh highest death rate poor state response
April,"Updated: Apr 11, 2020 05:36 IST","Coronavirus crisis: 100,000 dead in 101 days, half of them in just a week",0,coronavirus crisis dead days half week
April,"Updated: Apr 11, 2020 15:37 IST","650 FIRs filed; 2,316 people arrested for violating lockdown",0,firs file people arrest violate lockdown
April,"Updated: Apr 10, 2020 23:18 IST",UP may defer land dues collection as builders hit hard by Covid-19 lockdown,0,may defer land dues collection builders hit hard lockdown
April,"Updated: Apr 10, 2020 23:19 IST",Coronavirus scare: Medical students upset over hate hurled on doctors,0,coronavirus scare medical students upset hate hurl doctor
April,"Updated: Apr 10, 2020 21:06 IST","Assam, Bengal tea industry stares at losses due to Covid-19 lockdown",0,assam bengal tea industry star losses due lockdown
April,"Updated: Apr 10, 2020 19:21 IST",Heavy backlog: Meerut lab stops taking samples for 3 days,0,heavy backlog meerut lab stop take sample days
April,"Updated: Apr 10, 2020 20:14 IST",3 more Delhi areas under Covid-19 hard lockdown over Tablighi Jamaat cases,0,delhi areas hard lockdown tablighi jamaat case
April,"Updated: Apr 10, 2020 18:55 IST",Dozens arrested in J&K's Sopore for attending funeral of slain JeM commander,0,dozens arrest j k sopore attend funeral slay jem commander
April,"Updated: Apr 10, 2020 16:54 IST",How DBT helps the poor during emergencies,0,dbt help poor emergencies
April,"Updated: Apr 10, 2020 16:46 IST",‘It was tough': Cricketer-turned-cop Joginder Sharma recalls time he was ‘scared' during COVID-19 duty,0,tough joginder sharma recall time scar duty
April,"Updated: Apr 10, 2020 16:01 IST","An unfair, unworkable testing model | HT Editorial",0,unfair unworkable test model ht editorial
April,"Updated: Apr 10, 2020 14:20 IST",Coronavirus update: 10 countries worst affected by Covid-19,0,coronavirus update countries worst affect
April,"Updated: Apr 10, 2020 12:03 IST",Boman Irani: Fake news is more infectious than the coronavirus pandemic,0,boman irani fake news infectious coronavirus pandemic
April,"Updated: Apr 10, 2020 11:30 IST",No point of having IPL behind closed doors: India World Cup-winning cricketer Madan Lal,0,no point ipl behind close doors india world cricketer madan lal
April,"Updated: Apr 10, 2020 13:58 IST","Amid Opposition attack, Maharashtra acts tough against official who gave lockdown passes to Wadhawans",0,amid opposition attack maharashtra act tough official give lockdown pass wadhawans
April,"Updated: Apr 10, 2020 09:28 IST",‘Not easy to stay motivated': Sumit Nagal on life in Germany amid lockdown,0,not easy stay motivate sumit nagal life germany amid lockdown
April,"Updated: Apr 10, 2020 09:04 IST",Rashami Desai mourns fan's death due to coronavirus: ‘It was her last tweet and she remembered about me',0,rashami desai mourn fan death due coronavirus last tweet remember
April,"Updated: Apr 10, 2020 12:38 IST",Coronavirus crisis could plunge half a billion people into poverty: Report,0,coronavirus crisis could plunge half billion people poverty report
April,"Updated: Apr 10, 2020 11:32 IST",Karnataka Police launch fake news busting website,0,karnataka police launch fake news bust website
April,"Updated: Apr 10, 2020 08:12 IST",Facebook sues firm over deceptive ads linked to coronavirus scams,0,facebook sue firm deceptive ads link coronavirus scam
April,"Updated: Apr 10, 2020 01:31 IST","Lockdown effect: At PU, monkey business becomes a thing of past",0,lockdown effect pu monkey business become thing past
April,"Updated: Apr 09, 2020 23:29 IST","Gurugram: Illegal sale of liquor online, fake promises of doorstep delivery annoy vend owners, residents",0,gurugram illegal sale liquor online fake promise doorstep delivery annoy vend owners residents
April,"Updated: Apr 10, 2020 02:48 IST","Covid-19: At funerals, distance between the living and the dead gets wider",0,funerals distance live dead get wider
April,"Updated: Apr 09, 2020 19:45 IST","PMGK Scheme: 70,000 poor families in Chandigarh to get food grains, pulses from this week",0,pmgk scheme poor families chandigarh get food grain pulse week
April,"Updated: Apr 09, 2020 18:01 IST","Audio clip claiming sellers are licking or spitting on vegetables, fruits to spread COVID-19 is fake, says PIB Fact Check",0,audio clip claim sellers lick spit vegetables fruit spread fake say pib fact check
April,"Updated: Apr 09, 2020 17:43 IST","Hansal Mehta's scathing criticism of ‘godawful' remixes after Masakali 2.0: ‘Stop consuming sh*t, people will stop producing it'",0,hansal mehta scathing criticism godawful remixes masakali stop consume people stop produce
April,"Updated: Apr 09, 2020 16:39 IST","On the Frontline: Rising cost of essentials to feed the poor is a concern, says Sanjay Bhosale, director, Annamrita Foundation",0,frontline rising cost essentials fee poor concern say sanjay bhosale director annamrita foundation
April,"Updated: Apr 09, 2020 16:06 IST",Not sure Wimbledon-like insurance policy exists in India: BCCI official,0,not sure insurance policy exist india bcci official
April,"Updated: Apr 09, 2020 16:12 IST","Wuhan coronavirus lockdown over, but lingering fears slow recovery",0,wuhan coronavirus lockdown linger fear slow recovery
April,"Updated: Apr 09, 2020 12:27 IST","Minimal impact on students' job offers, summer internships amid COVID-19 crisis: IIM Calcutta",0,minimal impact students job offer summer internships amid crisis iim calcutta
April,"Updated: Apr 08, 2020 23:13 IST",Covid-19 crisis: GB University begins online counselling for depressed people,0,crisis gb university begin online counsel depress people
April,"Updated: Apr 08, 2020 19:50 IST",Mourinho admits he was in the wrong over training session,0,mourinho admit wrong train session
